=        	 0        	 NULL   	 a      
=        	 1        	 NULL   	 a      
Label    	 NULL   	 NULL   	 L0     
<        	 a        	 5        	 T0     
not      	 T0       	 NULL   	 T1     
if       	 T1       	 NULL   	 L1     
goto     	 NULL   	 NULL   	 L2     
Label    	 NULL   	 NULL   	 L3     
+        	 a        	 1        	 T2     
=        	 T2       	 NULL   	 a      
goto     	 NULL   	 NULL   	 L0     
Label    	 NULL   	 NULL   	 L2     
+        	 b        	 1        	 T3     
=        	 T3       	 NULL   	 b      
goto     	 NULL   	 NULL   	 L3     
Label    	 NULL   	 NULL   	 L1     
<        	 a        	 0        	 T4     
not      	 T4       	 NULL   	 T5     
if       	 T5       	 NULL   	 L4     
=        	 3        	 NULL   	 d      
goto     	 NULL   	 NULL   	 L5     
Label    	 NULL   	 NULL   	 L4     
=        	 4        	 NULL   	 d      
Label    	 NULL   	 NULL   	 L5     
